"Subject"	"Cond"	"Exper"	"Inifile"	"Date"	"Time"	"Age"	"Attr_01_fem"	"Attr_01_mas"	"Attr_02_fem"	"Attr_02_mas"	"Attr_03_fem"	"Attr_03_mas"	"Attr_04_fem"	"Attr_04_mas"	"Attr_05_fem"	"Attr_05_mas"	"Attr_06_fem"	"Attr_06_mas"	"Attr_07_fem"	"Attr_07_mas"	"Attr_08_fem"	"Attr_08_mas"	"Attr_09_fem"	"Attr_09_mas"	"Attr_10_fem"	"Attr_10_mas"	"Attr_11_fem"	"Attr_11_mas"	"Attr_12_fem"	"Attr_12_mas"	"Debrief01"	"Debrief02"	"Debrief03"	"Debrief04"	"Formid_01_fem"	"Formid_01_mas"	"Formid_02_fem"	"Formid_02_mas"	"Formid_03_fem"	"Formid_03_mas"	"Formid_04_fem"	"Formid_04_mas"	"Formid_05_fem"	"Formid_05_mas"	"Formid_06_fem"	"Formid_06_mas"	"Formid_07_fem"	"Formid_07_mas"	"Formid_08_fem"	"Formid_08_mas"	"Formid_09_fem"	"Formid_09_mas"	"Formid_10_fem"	"Formid_10_mas"	"Formid_11_fem"	"Formid_11_mas"	"Formid_12_fem"	"Formid_12_mas"	"Health_01_fem"	"Health_01_mas"	"Health_02_fem"	"Health_02_mas"	"Health_03_fem"	"Health_03_mas"	"Health_04_fem"	"Health_04_mas"	"Health_05_fem"	"Health_05_mas"	"Health_06_fem"	"Health_06_mas"	"Health_07_fem"	"Health_07_mas"	"Health_08_fem"	"Health_08_mas"	"Health_09_fem"	"Health_09_mas"	"Health_10_fem"	"Health_10_mas"	"Health_11_fem"	"Health_11_mas"	"Health_12_fem"	"Health_12_mas"	"Instr"	"MateValue_Body"	"MateValue_Face"	"Mate_Pair01"	"Mate_Pair02"	"Mate_Pair03"	"Mate_Pair04"	"Mate_Pair05"	"Mate_Pair06"	"Mate_Pair07"	"Mate_Pair08"	"Mate_Pair09"	"Mate_Pair10"	"Mate_Pair11"	"Mate_Pair12"	"PP01"	"PP02"	"PP03"	"PP04"	"PP05"	"PP06"	"PP07"	"PP08"	"PP09"	"PP10"	"PP11"	"PP12"	"PP13"	"PP14"	"PP15"	"PP16"	"PP17"	"PP18"	"PPVAS1"	"PPVAS2"	"RS01"	"RS02"	"RS03"	"RS04"	"RS05"	"RS06"	"RS07"	"RS08"	"RS09"	"RS10"	"RS11"	"RS12"	"RS13"	"RS14"	"RS15"	"RS16"	"RSVAS1"	"RSVAS2"	"Rating_Instr"	"Recog_01"	"Recog_02"	"Recog_03"	"Recog_04"	"Recog_05"	"Recog_06"	"Recog_07"	"Recog_08"	"Recog_09"	"Recog_10"	"Recog_11"	"Recog_12"	"RelationshipStatus"	"SPVAS1"	"SPVAS2"	"SexOrient"	"VIS01"	"VIS02"	"VIS03"	"tAttr_01_fem"	"tAttr_01_mas"	"tAttr_02_fem"	"tAttr_02_mas"	"tAttr_03_fem"	"tAttr_03_mas"	"tAttr_04_fem"	"tAttr_04_mas"	"tAttr_05_fem"	"tAttr_05_mas"	"tAttr_06_fem"	"tAttr_06_mas"	"tAttr_07_fem"	"tAttr_07_mas"	"tAttr_08_fem"	"tAttr_08_mas"	"tAttr_09_fem"	"tAttr_09_mas"	"tAttr_10_fem"	"tAttr_10_mas"	"tAttr_11_fem"	"tAttr_11_mas"	"tAttr_12_fem"	"tAttr_12_mas"	"tFormid_01_fem"	"tFormid_01_mas"	"tFormid_02_fem"	"tFormid_02_mas"	"tFormid_03_fem"	"tFormid_03_mas"	"tFormid_04_fem"	"tFormid_04_mas"	"tFormid_05_fem"	"tFormid_05_mas"	"tFormid_06_fem"	"tFormid_06_mas"	"tFormid_07_fem"	"tFormid_07_mas"	"tFormid_08_fem"	"tFormid_08_mas"	"tFormid_09_fem"	"tFormid_09_mas"	"tFormid_10_fem"	"tFormid_10_mas"	"tFormid_11_fem"	"tFormid_11_mas"	"tFormid_12_fem"	"tFormid_12_mas"	"tHealth_01_fem"	"tHealth_01_mas"	"tHealth_02_fem"	"tHealth_02_mas"	"tHealth_03_fem"	"tHealth_03_mas"	"tHealth_04_fem"	"tHealth_04_mas"	"tHealth_05_fem"	"tHealth_05_mas"	"tHealth_06_fem"	"tHealth_06_mas"	"tHealth_07_fem"	"tHealth_07_mas"	"tHealth_08_fem"	"tHealth_08_mas"	"tHealth_09_fem"	"tHealth_09_mas"	"tHealth_10_fem"	"tHealth_10_mas"	"tHealth_11_fem"	"tHealth_11_mas"	"tHealth_12_fem"	"tHealth_12_mas"	"tMate_Pair01"	"tMate_Pair02"	"tMate_Pair03"	"tMate_Pair04"	"tMate_Pair05"	"tMate_Pair06"	"tMate_Pair07"	"tMate_Pair08"	"tMate_Pair09"	"tMate_Pair10"	"tMate_Pair11"	"tMate_Pair12"	"tPP01"	"tPP02"	"tPP03"	"tPP04"	"tPP05"	"tPP06"	"tPP07"	"tPP08"	"tPP09"	"tPP10"	"tPP11"	"tPP12"	"tPP13"	"tPP14"	"tPP15"	"tPP16"	"tPP17"	"tPP18"	"tRS01"	"tRS02"	"tRS03"	"tRS04"	"tRS05"	"tRS06"	"tRS07"	"tRS08"	"tRS09"	"tRS10"	"tRS11"	"tRS12"	"tRS13"	"tRS14"	"tRS15"	"tRS16"	"tRecog_01"	"tRecog_02"	"tRecog_03"	"tRecog_04"	"tRecog_05"	"tRecog_06"	"tRecog_07"	"tRecog_08"	"tRecog_09"	"tRecog_10"	"tRecog_11"	"tRecog_12"	"tVIS01"	"tVIS02"
103	4	"C:\Users\sociallab1\Desktop\Deney51_ASIL\Deney51_ASIL.exp"	"default.mlp"	"18.04.2019"	"12:31:56"	"20"	1	1	4	4	6	6	1	3	3	3	1	1	2	1	3	3	5	5	2	2	3	2	2	2	"ok"	"ok"	"ok"	"ok"	3	3	5	5	5	5	5	5	4	4	3	5	5	5	4	5	4	5	5	5	4	4	3	3	3	3	6	6	6	6	5	4	2	5	3	6	6	5	6	4	6	6	3	3	5	5	5	5	"ok"	1	2	1	1	2	2	2	2	2	2	1	1	2	1	6	2	7	6	6	2	1	1	1	4	2	6	5	5	7	4	4	3	1	2	5	6	1	5	4	5	2	6	4	4	1	4	2	7	7	1	99	99	"ok"	2	2	2	2	2	2	2	2	2	2	2	2	2	99	99	1	5	5	3	2087	2930	2225	1845	2585	1855	1282	2568	2303	1955	1425	6513	2100	1835	1935	1365	2478	1868	1327	1832	2807	2135	1543	2337	3335	3610	2457	1825	2300	2743	3253	4987	1517	3915	2188	1992	2412	2408	2317	2335	2918	1926	1508	2808	4695	1763	2595	2500	1817	1795	1382	1610	1613	2352	2320	1603	2913	1543	3277	1645	2165	1617	3272	2410	2233	1975	2105	3838	1320	2478	1853	1425	4885	13538	21075	16198	11133	6918	5650	6775	6760	9185	17486	5588	4980	3423	3383	5745	7928	6588	4815	5742	5913	8487	4055	3028	4515	4365	5015	3143	5533	9542	4910	5413	8935	3080	3780	2918	6656	2652	3910	8177	3848	4617	9596	3523	3147	4135	2188	2320	2095	2357	2215	1835	2407	1957	2195	1888	2003	4810	3875	4923
104	2	"C:\Users\sociallab1\Desktop\Deney51_ASIL\Deney51_ASIL.exp"	"default.mlp"	"19.04.2019"	"14:50:18"	"20"	1	1	3	2	5	5	2	4	4	5	2	2	4	3	2	4	6	6	1	2	2	3	2	2	"ok"	"ok"	"ok"	"ok"	3	4	6	6	5	5	5	6	3	3	6	5	5	6	4	5	3	3	7	6	3	4	3	4	2	3	2	1	6	6	3	4	5	5	4	4	5	3	4	5	6	7	2	2	5	2	2	3	"ok"	3	4	2	1	2	2	2	2	2	2	1	2	2	2	6	4	5	2	4	3	1	2	2	2	3	5	4	1	7	5	2	1	99	99	5	2	1	6	1	7	7	7	7	5	1	1	7	6	6	1	99	99	"ok"	2	2	1	1	2	1	1	2	2	2	1	2	2	2	1	1	6	5	1	1683	1452	1943	875	2145	4422	915	2827	3148	3020	755	1195	1900	2887	2535	2283	3543	2672	957	1718	798	2145	1313	890	1803	1508	975	700	1477	2638	2422	1590	1900	1820	1495	1780	1995	5002	1420	3823	1685	1717	2420	1743	1495	9878	1468	2210	2721	4930	2085	1877	3117	5065	3927	2476	3170	1353	2405	1935	1752	2772	1738	1920	1952	3335	3495	1897	4515	1678	1163	2287	1307	4347	6325	2585	3475	2738	2725	2593	3313	1330	1468	3000	8692	4960	4555	6753	7380	5327	3587	2982	5595	5478	5007	9952	5130	3460	6598	4032	8595	7547	18886	5225	11153	4665	4418	3485	5172	2432	2193	6185	4497	5845	4595	4397	2403	11170	2960	1148	2330	1588	2717	2555	2153	1827	2280	2365	9650	1852	6590	6233
108	3	"C:\Users\sociallab1\Desktop\Deney51_ASIL\Deney51_ASIL.exp"	"default.mlp"	"30.04.2019"	"11:39:00"	"38"	1	1	1	1	3	2	1	1	1	1	1	1	1	1	2	1	4	4	1	1	1	1	1	1	"ok"	"ok"	"ok"	"ok"	2	2	6	6	6	6	4	6	3	4	3	3	6	4	3	5	4	5	2	6	2	3	2	3	4	4	5	5	6	5	3	3	4	3	5	5	4	4	5	4	7	7	2	3	1	4	3	3	"ok"	6	6	2	2	2	2	2	2	1	1	1	2	2	1	7	4	1	7	5	2	4	2	4	3	2	3	4	5	4	6	3	4	1	1	6	3	3	6	4	6	5	5	5	4	5	5	6	6	7	5	99	99	"ok"	2	2	2	2	2	2	2	2	2	2	2	2	1	99	99	1	6	6	6	3023	1627	2660	1155	7297	2833	1320	813	1523	5695	1175	4115	2690	1317	7463	2658	6460	2260	1320	1458	915	810	740	1983	1705	1413	3470	935	2860	942	1880	1768	1338	2542	5370	1780	1212	3220	2845	1965	4990	1142	2085	2373	1520	2733	1437	1517	4211	1625	9443	6277	2605	4245	2555	2703	5495	3495	1385	4493	2880	4963	3347	4542	2695	2143	2207	1563	2580	4540	1863	1405	7588	4280	10933	6002	5583	4047	7345	7468	3267	3875	3610	3605	4135	7203	2850	6190	7147	6652	4950	3493	5920	16855	3718	7955	10635	10745	4335	4936	8982	12653	7713	5590	8715	9565	8483	4405	10305	5712	6046	7185	8240	3850	7315	8053	3515	12097	1148	1320	1473	1188	2492	793	1477	1075	2155	1632	1500	1122	6058	2178
111	4	"C:\Users\sociallab1\Desktop\Deney51_ASIL\Deney51_ASIL.exp"	"default.mlp"	"30.04.2019"	"13:28:51"	"33"	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	4	1	1	1	1	1	1	"ok"	"ok"	"ok"	"ok"	4	4	2	4	4	4	2	4	2	2	4	4	4	4	4	4	3	4	4	2	4	4	4	4	4	4	2	4	4	5	2	2	1	2	4	4	4	4	2	5	4	6	1	2	4	4	4	4	"ok"	6	6	2	1	1	2	1	2	2	2	1	2	2	1	7	4	5	7	4	5	4	5	6	7	2	1	4	7	4	5	6	1	1	2	7	3	1	5	3	7	6	7	7	7	1	2	7	7	7	2	99	99	"ok"	2	2	2	2	2	2	2	2	2	2	2	2	2	99	99	1	3	5	5	998	852	847	702	962	1740	1221	783	700	662	608	1103	805	765	2640	4578	2270	2820	707	3657	765	700	1157	722	1685	1333	2108	2962	1012	2380	1577	2337	3203	1440	3333	1432	1773	1185	1710	1115	2597	2205	3367	2280	1765	2377	1108	4321	4750	4605	2202	4485	2652	3027	2375	2130	1665	2035	4223	3630	2180	4537	2400	2668	1458	2133	5307	1855	1190	2658	1763	1865	3875	9502	2845	4627	6635	2227	3561	2008	5350	3555	6701	2547	6070	8033	12835	5098	8280	7028	3455	3610	5533	5968	8408	3777	8117	7235	6465	5168	5025	15155	10100	7448	8517	8206	8502	3793	8233	3408	2665	4571	5505	6587	5915	3817	3767	5636	517	565	825	2370	570	590	610	1132	1048	657	642	575	17278	5030
112	5	"C:\Users\sociallab1\Desktop\Deney51_ASIL\Deney51_ASIL.exp"	"default.mlp"	"30.04.2019"	"14:31:14"	"21"	1	1	1	2	4	4	1	1	1	1	1	1	1	1	1	1	4	5	1	1	1	1	1	1	"ok"	"ok"	"ok"	"ok"	2	2	5	6	4	4	5	7	3	3	3	4	7	6	2	3	3	4	6	6	2	2	4	3	2	2	5	4	6	6	4	3	4	3	2	5	4	4	4	4	6	6	1	3	4	3	4	3	"ok"	5	5	2	1	1	1	2	1	1	1	1	2	2	2	6	4	7	6	2	3	2	5	7	6	2	2	2	4	2	2	6	1	99	99	5	4	4	7	3	7	7	6	5	5	1	2	6	5	6	3	2	1	"ok"	2	2	2	2	2	2	2	2	2	2	2	2	2	99	99	1	6	7	7	905	813	1890	2737	4245	2405	1247	1203	3222	1260	1160	917	1490	1518	763	772	2963	1958	790	5783	1300	908	1775	2462	1700	3398	1770	2683	3912	3685	3525	1655	2260	2156	3810	2263	3390	1828	3308	2328	3857	4845	1800	3040	3425	2405	2968	1725	1880	1175	1998	1905	1583	2213	3628	1915	2752	1690	3190	3490	2737	2713	2095	4148	2330	3173	2695	2353	3105	2010	2890	2775	5735	4582	4507	5753	6105	8307	26308	5865	8563	6810	7218	8155	3748	3465	2780	3908	9328	2980	2665	6783	4402	5643	4115	3787	3890	4712	4308	2933	5907	6428	7748	5743	6595	3306	5503	5018	5600	2980	4228	5258	4650	3853	5043	5558	3658	5090	1290	3943	2170	1812	1278	1453	2527	1678	2553	1460	3630	3500	2925	2473
115	3	"C:\Users\sociallab1\Desktop\Deney51_ASIL\Deney51_ASIL.exp"	"default.mlp"	"30.04.2019"	"15:24:25"	"23"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	"ok"	"ok"	"ok"	"ok"	2	3	4	4	2	4	2	4	2	2	4	4	2	2	2	2	3	3	2	4	2	2	2	3	2	3	3	4	3	3	2	2	2	2	2	3	3	3	4	4	5	5	3	2	3	2	2	3	"ok"	5	4	2	2	2	1	1	1	1	1	1	2	1	2	6	5	7	7	2	5	4	7	7	7	5	1	2	7	5	3	7	3	1	2	3	5	2	5	2	7	3	7	3	4	2	2	6	6	6	3	99	99	"ok"	2	2	2	2	2	2	2	2	2	2	2	2	2	99	99	1	4	6	3	525	547	1235	760	640	570	567	507	642	533	498	358	1628	565	550	603	1763	365	620	525	410	492	1068	465	2348	1712	980	1293	1630	1197	1485	852	1812	831	1145	3632	608	1213	1230	1165	2605	3262	730	1352	2205	2332	1583	862	1210	2365	1145	1445	7130	1843	2220	1065	820	1220	787	2948	1923	1458	935	3525	3295	1575	810	917	1385	1335	1090	1551	6150	8491	1318	1622	1708	17067	2628	4500	4287	1982	2625	2125	3733	4900	2428	4807	6060	2568	2662	3070	3082	3250	3295	3170	5107	3587	4410	4083	3907	6286	9307	8568	7710	6507	4438	3200	5825	2280	4976	3625	2770	3355	3557	2590	2287	4658	1266	477	1122	1017	1158	612	2060	965	1733	523	1688	1495	3612	3547
116	5	"C:\Users\sociallab1\Desktop\Deney51_ASIL\Deney51_ASIL.exp"	"default.mlp"	"30.04.2019"	"16:24:55"	"19"	3	3	3	3	5	5	2	2	4	3	2	2	2	2	4	4	4	6	1	2	2	2	3	2	"ok"	"ok"	"ok"	"ok"	6	7	4	5	4	5	5	5	3	3	6	4	3	5	5	5	3	4	4	6	6	5	5	6	5	5	3	3	3	4	4	4	3	3	4	4	4	4	5	4	5	6	2	1	2	2	4	4	"ok"	3	4	2	1	1	2	2	1	1	2	2	1	2	2	5	5	3	7	2	2	3	5	4	3	2	2	3	5	3	5	3	5	99	99	5	3	2	6	3	6	6	6	6	6	2	2	6	6	7	2	1	1	"ok"	2	2	2	2	2	2	2	2	2	2	2	2	2	99	99	1	4	5	3	6802	6530	2982	5975	3302	3547	3243	3010	5342	2868	4053	2697	1882	4610	5045	3108	4098	4477	4433	2837	2085	2283	2313	2863	5940	4485	1945	2540	3863	4372	2230	4535	2343	2570	2140	2387	3075	5526	3180	3873	2875	2805	5573	2517	5588	2260	2812	2645	8738	3710	2845	2060	2780	2355	4050	3277	3763	2060	1900	1743	4558	4561	3933	1668	1738	4955	1865	2760	1386	1762	2060	2948	8848	7817	14140	6540	13947	9735	13578	10070	7195	8860	8812	5196	6545	4175	6417	5230	5798	8140	4305	6280	9063	8078	4458	5090	5275	5810	7088	6060	9990	6825	10218	10602	7480	4788	4225	3530	7185	4220	3060	3535	5700	4780	7753	3472	5475	4946	1020	2315	953	1173	1390	3716	915	1738	1483	1235	2450	928	8445	3690
119	6	"C:\Users\sociallab1\Desktop\Deney51_ASIL\Deney51_ASIL.exp"	"default.mlp"	"02.05.2019"	"13:40:30"	"HH"	1	1	3	4	5	6	3	3	3	3	1	2	2	4	2	3	3	5	2	4	2	2	1	1	"ok"	"ok"	"ok"	"ok"	3	5	4	3	5	5	3	5	2	4	4	5	5	6	2	5	3	5	4	4	4	3	2	4	3	2	5	5	7	6	4	4	3	2	3	4	3	3	5	6	5	4	3	4	5	5	4	4	"ok"	6	6	2	2	2	2	1	2	2	2	1	2	1	2	5	3	2	4	5	2	2	3	6	3	3	2	3	3	3	5	2	1	99	99	6	2	1	6	1	7	6	7	7	5	2	2	6	6	6	1	1	1	"ok"	2	1	1	1	2	2	2	2	1	2	2	2	1	99	99	1	5	6	6	3630	1620	5242	3361	10287	6983	5180	6750	2925	4310	3430	7400	7240	2092	3825	2800	11603	9300	7590	5405	7535	4902	1218	1835	3838	2060	3127	2522	3805	5363	5062	4075	1683	2430	4630	2342	1427	3068	5620	2435	4452	4203	11133	2410	1685	14930	3360	7888	3853	3150	1493	1850	4305	2773	2955	2420	2283	2800	3125	1750	1752	9557	6763	2300	3488	4170	2592	3798	5530	1733	1738	2702	7158	10790	6678	6738	10138	27863	3313	16181	14070	6253	13063	5610	8003	5160	7028	6448	12360	5017	6888	5985	5041	10753	6840	5685	7530	12823	6567	6045	7525	10722	11573	5548	11443	6487	3378	5363	11628	4167	4188	9295	8203	4643	5402	3478	5633	5225	827	2295	2298	3380	770	4940	1105	1565	15043	2242	1532	717	4617	2815
123	3	"C:\Users\sociallab1\Desktop\Deney51_ASIL\Deney51_ASIL.exp"	"default.mlp"	"02.05.2019"	"14:38:06"	"18"	1	1	1	2	3	1	1	1	1	1	1	1	1	1	1	1	6	3	1	1	1	1	1	1	"ok"	"ok"	"ok"	"ok"	2	2	6	5	2	4	3	7	1	4	2	3	5	6	1	3	2	2	5	7	2	1	1	4	6	6	5	7	7	7	3	2	1	3	6	4	4	5	2	2	3	6	5	6	5	7	6	6	"ok"	3	3	2	1	2	1	1	2	1	1	2	2	2	2	6	3	7	7	3	2	2	4	2	1	2	6	1	3	2	2	2	4	1	1	2	2	1	7	2	7	7	7	5	7	1	1	7	5	7	1	99	99	"ok"	2	2	2	2	2	2	2	2	2	2	2	2	2	99	99	1	3	6	2	1195	1485	1500	4260	3323	3220	1353	5326	2707	1317	792	980	1015	1595	828	1855	6575	5813	908	2015	2063	1203	1058	2105	1737	3925	3600	2302	2090	2320	2670	2252	2435	1763	2625	2693	2875	3523	1328	3458	2610	1772	2955	2030	4753	2410	2942	10395	3820	5448	1987	3142	1550	5013	2147	3237	2205	1750	3568	3113	3427	7893	2195	4263	5463	6210	2040	31763	7548	6051	2547	2170	6935	4243	4200	9678	12915	8075	8075	7273	2380	1735	4292	2940	6768	2795	2008	2280	5122	5137	2920	4210	3900	3630	3182	2520	4822	4180	4885	2603	4192	8513	5695	2867	17848	4123	3457	3875	3602	1248	2795	5465	5695	2780	4533	5158	2490	13530	815	682	703	903	578	930	1168	6936	1358	2623	4255	1765	4945	3978
128	3	"C:\Users\sociallab1\Desktop\Deney51_ASIL\Deney51_ASIL.exp"	"default.mlp"	"03.05.2019"	"11:22:38"	"23"	3	2	3	4	5	4	3	4	2	2	1	2	2	3	3	3	5	5	4	3	2	2	1	1	"ok"	"ok"	"ok"	"ok"	3	3	5	5	4	5	5	4	2	2	5	5	3	5	2	4	2	2	4	6	3	4	3	2	3	3	4	4	4	4	3	4	3	4	5	5	4	2	3	3	5	6	4	3	2	3	3	3	"ok"	5	6	2	1	2	1	1	2	1	1	2	1	1	2	7	5	3	6	2	5	3	5	2	5	4	5	2	4	4	3	3	3	1	2	3	3	2	6	2	6	6	6	6	6	2	2	6	5	6	1	99	99	"ok"	2	2	2	2	2	2	2	2	2	2	2	2	1	99	99	1	5	5	4	3573	3853	1545	2122	1606	1918	1404	1872	2215	1373	1623	2340	1513	2200	1794	1529	3011	2122	2824	2871	1826	3463	2216	1154	1997	1685	1389	1108	1872	1326	1513	1497	1435	1653	1763	1669	1404	2324	2652	2215	3073	1513	2340	1872	2153	2230	1778	1654	1388	1856	2917	1904	2138	2387	2215	1529	1700	1154	1591	1451	2605	2012	1732	1498	2200	3183	1467	1638	2013	2901	3651	1514	4758	2028	2481	3962	7395	4306	3791	2948	5070	4165	3619	2886	3136	2714	3432	5648	4914	1888	2262	2715	3167	6162	4102	6350	3729	5506	5195	3308	5928	4773	6459	5086	6022	7473	4758	2746	4868	2449	2137	2933	3806	2714	5725	4056	2324	4430	686	1061	905	593	827	1201	842	702	2075	733	640	671	4134	4570
