Subject,Cond,order_PPRS1_RSPP2,Sex,Age,SexOrient,Outro1,tOutro1,PP01,PP02,PP03,PP04,PP05,PP06,PP07,PP08,PP09,PP10,PP11,PP12,PP13,PP14,PP15,PP16,PP17,PP18,tPP01,tPP02,tPP03,tPP04,tPP05,tPP06,tPP07,tPP08,tPP09,tPP10,tPP11,tPP12,tPP13,tPP14,tPP15,tPP16,tPP17,tPP18,PPVAS1,PPVAS2,RS01,RS02,RS03,RS04,RS05,RS06,RS07,RS08,RS09,RS10,RS11,RS12,RS13,RS14,RS15,RS16,tRS01,tRS02,tRS03,tRS04,tRS05,tRS06,tRS07,tRS08,tRS09,tRS10,tRS11,tRS12,tRS13,tRS14,tRS15,tRS16,RSVAS1,RSVAS2,SPVAS1,SPVAS2,VIS01,VIS02,VIS03,tVIS01,tVIS02,PP03_revcod,PP05_revcod,PP12_revcod,PP13_revcod,PP15_revcod,PP16_revcod,PP18_revcod,PP_AVE,RS01_revcod,RS02_revcod,RS03_revcod,RS05_revcod,RS011_revcod,RS012_revcod,RS016_revcod,RS_AVE,tAVE_PP,tAVE_RS,VIS_AVE,VAS1_cor,VAS2_cor,VAS_bothwrong
3,1,1,1,19,1,2,31535,7,4,2,7,4,3,3,4,5,3,4,2,3,3,1,4,3,2,9035,8031,10072,8325,26116,10538,4365,21007,6933,10493,8842,5447,16283,6842,12485,9898,10845,15168,1,1,1,5,5,6,2,3,4,3,3,3,1,2,2,6,6,3,11592,25230,17772,14665,13448,9938,11873,6015,36848,15241,19343,6252,9873,41685,6803,14073,99,99,99,99,5,5,2,10285,5483,6,4,6,5,7,4,6,4.666666667,7,3,3,6,7,6,5,4.5625,11151.38889,16290.6875,4,1,0,0
4,1,2,2,21,1,2,24493,7,4,4,7,5,1,2,1,6,5,1,6,5,5,3,6,2,3,6245,3770,3730,7305,5575,6847,3555,5095,7785,10615,4278,4750,16725,4435,3583,18901,7445,11953,1,2,6,6,4,5,5,7,7,6,5,5,3,3,5,6,7,3,6550,9413,13020,6368,5365,4562,9083,2962,4030,9555,6078,5713,5278,6070,3450,6935,99,99,99,99,5,6,3,4730,3130,4,3,2,3,5,2,5,3.611111111,2,2,4,3,5,5,5,4.9375,7366.222222,6527,4.666666667,1,1,0
6,1,2,1,20,1,2,18571,7,4,7,1,1,1,2,2,1,4,1,1,7,1,1,5,1,7,3060,3857,2850,5702,6888,2997,3642,4385,3058,7310,4145,9191,4608,37393,8127,5405,5290,9800,1,2,7,3,1,7,3,7,7,7,7,7,4,1,7,7,7,1,7725,6295,10465,4530,9653,4840,4530,2370,2265,3657,19525,3453,8875,5370,5883,4380,99,99,99,99,2,3,1,6725,3965,1,7,7,1,7,3,1,2.888888889,1,5,7,5,4,7,7,6.1875,7094.888889,6488.5,2,1,1,0
8,1,2,1,20,1,2,15082,7,4,6,5,2,2,2,4,5,3,2,3,3,4,1,5,4,3,3617,4590,3727,8315,6465,5023,5703,5470,6170,8061,3305,3710,5792,4450,4030,3320,8361,9192,1,2,5,2,2,7,2,7,6,7,7,6,1,1,7,7,7,1,7878,7712,8045,7925,4725,3192,6585,2296,4105,6482,4093,5518,3812,3000,3987,6143,99,99,99,99,5,6,5,6173,3890,2,6,5,5,7,3,5,4.166666667,3,6,6,6,7,7,7,6.4375,5516.722222,5343.625,5.333333333,1,1,0
13,1,2,1,20,3,2,31218,3,5,7,1,3,4,1,5,2,4,3,7,1,6,4,5,3,6,7872,4298,4603,5403,7548,6990,3010,6405,20310,13137,4795,4953,7511,12730,7665,4615,8033,10155,1,2,4,6,1,6,1,7,4,7,4,3,1,2,6,6,7,1,12428,7105,16327,21865,7350,4720,11426,3273,6320,10280,14176,9240,8082,10005,16360,9277,99,99,99,99,5,6,2,7310,5098,1,5,1,7,4,3,2,3.333333333,4,2,7,7,7,6,7,5.625,7779.611111,10514.625,4.333333333,1,1,0
15,1,2,2,18,1,2,10972,6,5,3,6,4,2,3,5,6,6,4,5,2,5,4,5,6,2,3837,2737,2657,3800,11768,3473,4005,3878,6050,6118,6435,2765,6250,4860,5247,5065,5053,5891,1,2,7,4,4,2,6,7,7,7,7,3,1,1,5,5,6,5,5297,6425,8493,4963,5192,3567,7420,2500,2777,7488,4215,4060,8008,3505,4528,10716,99,99,99,99,6,6,5,4465,2368,5,4,3,6,4,3,6,4.722222222,1,4,4,2,7,7,3,4.8125,4993.833333,5572.125,5.666666667,1,1,0
16,1,2,2,29,1,2,18686,7,6,1,7,1,6,5,6,6,6,6,1,1,6,1,2,2,3,3995,4573,4131,6465,6047,5975,5427,6415,5068,6265,4345,3495,6420,5973,4222,4358,6550,13565,1,2,7,4,2,5,5,6,2,7,7,6,1,2,6,6,7,2,8403,5945,9420,11211,9722,4733,8720,5305,5855,9090,5190,4917,6726,4430,4705,5693,99,99,99,99,5,7,2,10830,5563,7,7,7,7,7,6,5,6.055555556,1,4,6,3,7,6,6,5.3125,5738.277778,6879.0625,4.666666667,1,1,0
20,1,1,1,20,1,2,26620,7,1,2,7,4,1,6,2,7,5,1,1,4,7,4,6,7,2,3737,6120,3808,4193,6795,4255,3855,4805,4450,7795,3398,2710,6888,5430,4177,3680,4448,10513,1,2,4,4,1,6,4,6,6,7,2,3,1,4,5,5,7,4,11065,4702,7695,7625,4330,3693,5195,3432,8385,6260,4607,4177,9780,6603,4375,26333,99,99,99,99,5,7,5,7000,3608,6,4,7,4,4,2,6,4.666666667,4,4,7,4,7,4,4,5.0625,5058.722222,7391.0625,5.666666667,1,1,0
31,1,2,1,20,1,2,23152,5,4,6,6,3,2,3,4,2,3,3,4,4,4,3,4,3,2,3443,5108,3098,7262,5940,3575,3665,5965,5303,5992,4768,4333,6545,8010,7335,3952,6288,11910,1,2,5,5,3,5,4,6,6,6,4,4,2,3,3,6,7,4,7723,7440,9817,4590,3603,4660,5733,2128,5253,7735,5808,5787,10260,7190,3555,6423,99,99,99,99,5,6,4,6898,5223,2,5,4,4,5,4,6,3.833333333,3,3,5,4,6,5,4,4.8125,5694,6106.5625,5,1,1,0
33,1,1,1,19,1,1,110974,6,4,6,7,2,4,1,5,3,5,4,1,1,5,2,4,2,1,6817,6828,8051,8548,24210,6032,6305,10860,20188,11870,11986,4022,6795,8128,7026,13692,12903,20108,1,2,6,5,1,5,6,7,5,7,7,7,4,4,5,7,7,2,17693,11305,10843,10433,7947,3232,17953,4935,2980,26840,21320,15706,10112,4113,3217,12321,99,99,99,99,4,6,2,15398,11583,2,6,7,7,6,4,7,4.722222222,2,3,7,2,4,4,6,5.3125,10798.27778,11309.375,4,1,1,0
